Интерес,ID
Автомобили,1
Активен в Instagram,2
"Анимэ, Хикка",3
Аренда недвижимости,4
"Боты , Коммерческие аккаунты",5
"Бренды, Компании",6
"Буддизм, Духовное развитие",7
"Выставки, Культура",8
"Гадания, Магия",9
Геймер / Общее,10
Геймер / MMORPG / DOTA,11
Геймер / Pokemon GO,12
Гороскопы,13
Гуманитарий,14
Гурманы,15
"Дом, уют",16
Домашние животные / Кошка,17
Домашние животные / Собака,18
Домашник животные / Аквариум,19
Домашник животные / Грызуны,20
Домашник животные / Другое,21
Домашник животные / Птицы,22
"Еда, Питание",23
Здоровый образ жизни,24
"Знакомства, отношения",25
Знания / Наука,26
Изучает / знает иностранные языки,27
"Инженерия, Математический склад ума",28
Интересуется духовным развитием,29
Интернет-сервисы / Ecommerce,30
Искусство ,31
"Йога, медитация, практики",32
"Картинки, Эстетическая красота",33
Карьера,34
Либеральные СМИ,35
"Литература, гуманитарные науки",36
Любит Анимэ,37
"Медицина, здоровье",38
Меланхолия,39
Меломан,40
"Мода, Хипстер",41
Музыка /  Hip-Hop,42
Музыка /  ROCK,43
Музыка / Концерты,44
Музыка / Танцевальная,45
Музыка / Gansta RAP,46
Музыка / JAZZ,47
Музыка / POP,48
Наука / Ноу-хау,49
Национализм,50
Новинки техники,51
Новости / Модные СМИ,52
Патриотические паблики,53
"Персональные блоги, Дневники",54
Политика,55
Православный,56
"Приколы, мемы",57
"Про детей, мамочка",58
Продуктивность / Саморазвитие,59
Профессиональное / Архитектура,60
"Профессиональное / Бизнес, Предпринимательство",61
Профессиональное / Дизайн интерьера,62
"Профессиональное / Дизайн, UX, UI",63
Профессиональное / Копирайтинг,64
"Профессиональное / Креативщик, Дизайнер",65
Профессиональное / Поиск работы,66
Профессиональное / Программирование,67
"Профессиональное / Реклама, Маркетинг",68
Профессиональное / Стартапы,69
Профессиональное / Фриланс,70
Профессиональное / Digital,71
Профессиональное / SMM,72
Псевдофилософия,73
Психология,74
Путешествия,75
Реальный пацан,76
Романтика / Отношения,77
Секс / Эротика,78
Смотрит Youtube блогеров,79
Спорт / Другое,80
Спорт / Плавание,81
Спорт / Регби,82
Спорт / Теннис,83
Спорт / Футбол,84
Спорт / Хоккей,85
"Спорт / Чемпионаты, турниры",86
Татуировки,87
Типичная девушка,88
Участвует в конкурсах,89
Фитнес для девушек / Фитоняшки,90
Фотография,91
"Хипстер, GEEK",92
Хорошее чувство юмора,93
Цитаты,94
Школьник,95
GEEK,96
"HandMade, DIY",97